Frequency_GHz,Dk,Df,sigma_Dk,sigma_Df
0.09999999999999999,4.795870488238379,0.003954017916294751,0.014387611464715138,1.1862053748884252e-05
0.10404524141386139,4.821393693088933,0.004133629725818025,0.014464181079266801,1.2400889177454075e-05
0.10825412260868696,4.815156342016381,0.004302623369964957,0.014445469026049144,1.2907870109894871e-05
0.11263326320866583,4.79080785603277,0.004469090202430398,0.014372423568098308,1.3407270607291194e-05
0.11718955061776627,4.789260987523614,0.004656266456045996,0.014367782962570842,1.3968799368137988e-05
0.12193015085207422,4.79833951920033,0.004867315757656882,0.014395018557600989,1.4601947272970645e-05
0.12686251981032595,4.813114624096622,0.005063498062765278,0.014439343872289866,1.5190494188295834e-05
0.13199441500036135,4.801873438175275,0.005254985140360362,0.014405620314525825,1.5764955421081087e-05
0.13733390773994006,4.809867734536182,0.005431343344096082,0.014429603203608546,1.6294030032288248e-05
0.14288939585111027,4.816082477436356,0.005671195429808874,0.014448247432309068,1.7013586289426622e-05
0.14866961686809574,4.786371331734692,0.005897593458599196,0.014359113995204075,1.7692780375797588e-05
0.15468366177947296,4.809169540728636,0.006149520247535523,0.014427508622185907,1.8448560742606567e-05
0.16094098932625348,4.811480982451982,0.006399368751070732,0.014434442947355948,1.9198106253212197e-05
0.1674514408783573,4.7940755737250615,0.006649162834497355,0.014382226721175183,1.9947488503492066e-05
0.17422525591287621,4.8187673801445685,0.006911191159060552,0.014456302140433705,2.0733573477181656e-05
0.18127308811846987,4.799360137744288,0.007165101132167892,0.014398080413232863,2.1495303396503674e-05
0.18860602215122366,4.805318020265971,0.007482343470258386,0.014415954060797913,2.244703041077516e-05
0.19623559106832153,4.799567680634269,0.007808942907626853,0.014398703041902805,2.342682872288056e-05
0.20417379446695294,4.807371624311283,0.008110041735974086,0.014422114872933848,2.4330125207922256e-05
0.2124331173569823,4.79003785760448,0.00847119717512014,0.01437011357281344,2.541359152536042e-05
0.22102654979706374,4.782867079417664,0.008776311710216865,0.014348601238252991,2.6328935130650594e-05
0.2299676073250835,4.7959832868055,0.009119266353672542,0.0143879498604165,2.7357799061017626e-05
0.23927035221506385,4.788890148993482,0.00948770570837304,0.014366670446980445,2.8463117125119118e-05
0.24894941559395964,4.790415999522532,0.009847652850018753,0.014371247998567595,2.9542958550056257e-05
0.2590200204531324,4.802890450941417,0.010306590320779104,0.014408671352824252,3.091977096233731e-05
0.2694980055906947,4.811708336048373,0.010662536368572097,0.014435125008145118,3.198760910571629e-05
0.28039985052238,4.803447465293687,0.011194141906377601,0.014410342395881062,3.35824257191328e-05
0.29174270140011666,4.780351248026873,0.011562763873724487,0.014341053744080618,3.468829162117346e-05
0.3035443979790721,4.798611303719245,0.012037824405673268,0.014395833911157735,3.61134732170198e-05
0.31582350167557777,4.813105891167234,0.012524074541548216,0.014439317673501704,3.7572223624644646e-05
0.3285993247600654,4.802389952068914,0.013069878467003184,0.014407169856206744,3.920963540100955e-05
0.3418919607309284,4.797556696490579,0.013616096309139743,0.014392670089471737,4.084828892741923e-05
0.3557223159170787,4.7932588889971015,0.014155761627052227,0.014379776666991305,4.2467284881156674e-05
0.3701121423589032,4.811635456031022,0.014774820839406974,0.014434906368093066,4.4324462518220925e-05
0.38508407201933514,4.789551505779813,0.015253748776465773,0.014368654517339438,4.576124632939732e-05
0.400661652378845,4.789733223974492,0.015954701933143835,0.014369199671923476,4.786410579943151e-05
0.41686938347033536,4.804002690196328,0.016613064803925034,0.014412008070588985,4.98391944117751e-05
0.433732756412186,4.815199660803646,0.017197636652270986,0.01444559898241094,5.1592909956812954e-05
0.4512782935000542,4.776549532617892,0.017937396757030776,0.014329648597853677,5.381219027109233e-05
0.46953358992048533,4.801026195411708,0.018680524793009943,0.014403078586235124,5.604157437902983e-05
0.48852735715193896,4.812209364385408,0.019251570282256863,0.014436628093156226,5.775471084677059e-05
0.5082894681214917,4.781539976593239,0.020164082461116558,0.014344619929779716,6.0492247383349675e-05
0.5288510041882379,4.785683091354405,0.020991735670717042,0.014357049274063213,6.297520701215113e-05
0.5502443040272823,4.799457662694487,0.02179397271911697,0.014398372988083462,6.53819181573509e-05
0.5725030144912072,4.789268765926756,0.022623122059048616,0.014367806297780266,6.786936617714585e-05
0.5956621435290105,4.7748697036715,0.02355562193620418,0.014324609111014502,7.066686580861253e-05
